Name,Code,Email,Website
ALPINE,646,info@alpineshire.vic.gov.au,www.alpineshire.vic.gov.au
ARARAT,653,council@ararat.vic.gov.au,www.ararat.vic.gov.au
BALLARAT,612,ballcity@ballarat.vic.gov.au,www.ballarat.vic.gov.au
BANYULE,392,enquiries@banyule.vic.gov.au,www.banyule.vic.gov.au
BASS COAST,352,basscoast@basscoast.vic.gov.au,www.basscoast.vic.gov.au
BAW BAW,664,bawbaw@bawbawshire.vic.gov.au,www.bawbawshire.vic.gov.au
BAYSIDE,307,enquiries@bayside.vic.gov.au,www.bayside.vic.gov.au
BENALLA ,618,council@benalla.vic.gov.au,www.benalla.vic.gov.au
BOROONDARA,540,boroondara@boroondara.vic.gov.au,www.boroondara.vic.gov.au
BRIMBANK,661,info@brimbank.vic.gov.au,www.brimbank.vic.gov.au
BULOKE,649,buloke@buloke.vic.gov.au,www.buloke.vic.gov.au
CAMPASPE,631,shire@campaspe.vic.gov.au,www.campaspe.vic.gov.au
CARDINIA,548,mail@cardinia.vic.gov.au,www.cardinia.vic.gov.au
CASEY,549,caseycc@casey.vic.gov.au,www.casey.vic.gov.au
CENTRAL GOLDFIELDS,648,mail@cgoldshire.vic.gov.au,www.centralgoldfields.com.au
COLAC OTWAY,582,inq@colacotway.vic.gov.au,www.colacotway.vic.gov.au
CORANGAMITE,475,shire@corangamite.vic.gov.au,www.corangamite.vic.gov.au
DAREBIN,502,mailbox@darebin.vic.gov.au,www.darebin.vic.gov.au
EAST GIPPSLAND ,466,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au
FRANKSTON,481,correspondence@frankston.vic.gov.au ,www.frankston.vic.gov.au
FRENCH ISLANDS,420,NA,NA
GANNAWARRA,650,council@gannawarra.vic.gov.au,www.gannawarra.vic.gov.au
GLEN EIRA,281,mail@gleneira.vic.gov.au,www.gleneira.vic.gov.au
GLENELG,662,enquiry@glenelg.vic.gov.au,www.glenelg.vic.gov.au
GOLDEN PLAINS,484,enquiries@gplains.vic.gov.au,www.goldenplains.vic.gov.au
GREATER BENDIGO,626,info@bendigo.vic.gov.au,www.bendigo.vic.gov.au
GREATER DANDENONG,283,council@cgd.vic.gov.au,www.greaterdandenong.com
GREATER GEELONG,610,COGGRecords@geelongcity.vic.gov.au,www.geelongaustralia.com.au
GREATER SHEPPARTON,576,council@shepparton.vic.gov.au,greatershepparton.com.au
HEPBURN,643,shire@hepburn.vic.gov.au,www.hepburn.vic.gov.au
HINDMARSH,562,info@hindmarsh.vic.gov.au,www.hindmarsh.vic.gov.au
HOBSONS BAY,533,customerservice@hobsonsbay.vic.gov.au,www.hobsonsbay.vic.gov.au
HORSHAM,659,council@hrcc.vic.gov.au,www.hrcc.vic.gov.au
HUME,660,contactus@hume.vic.gov.au,www.hume.vic.gov.au
INDIGO ,492,info@indigoshire.vic.gov.au,www.indigoshire.vic.gov.au
KINGSTON,480,info@kingston.vic.gov.au,www.kingston.vic.gov.au
KNOX,542,knoxcc@knox.vic.gov.au,www.knox.vic.gov.au
LATROBE,625,latrobe@latrobe.vic.gov.au,www.latrobe.vic.gov.au
LODDON,632,loddon@loddon.vic.gov.au,www.loddon.vic.gov.au
MACEDON RANGES,652,mrsc@mrsc.vic.gov.au,www.mrsc.vic.gov.au
MANNINGHAM,538,manningham@manningham.vic.gov.au,www.manningham.vic.gov.au
MANSFIELD ,639,council@mansfield.vic.gov.au,www.mansfield.vic.gov.au
MARIBYRNONG,531,email@maribyrnong.vic.gov.au,www.maribyrnong.vic.gov.au
MAROONDAH,504,maroondah@maroondah.vic.gov.au,www.maroondah.vic.gov.au
MELBOURNE,580,enquiries@melbourne.vic.gov.au,www.melbourne.vic.gov.au
MELTON,667,csu@melton.vic.gov.au,www.melton.vic.gov.au
MILDURA,630,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au
MITCHELL,666,mitchell@mitchellshire.vic.gov.au,www.mitchellshire.vic.gov.au
MOIRA,491,info@moira.vic.gov.au,www.moira.vic.gov.au
MONASH,543,mail@monash.vic.gov.au,www.monash.vic.gov.au
MOONEE VALLEY,634,council@mvcc.vic.gov.au,www.mvcc.vic.gov.au 
MOORABOOL,615,info@moorabool.vic.gov.au,www.moorabool.vic.gov.au 
MORELAND,633,info@moreland.vic.gov.au,www.moreland.vic.gov.au
MORNINGTON PENINSULA,651,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au
MOUNT ALEXANDER,644,info@mountalexander.vic.gov.au,www.mountalexander.vic.gov.au
MOYNE,655,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au
MURRINDINDI,554,msc@murrindindi.vic.gov.au,www.murrindindi.vic.gov.au
NILLUMBIK,596,nillumbik@nillumbik.vic.gov.au,www.nillumbik.vic.gov.au
NORTHERN GRAMPIANS,657,ngshire@ngshire.vic.gov.au,www.ngshire.vic.gov.au
PORT PHILLIP,581,assist@portphillip.vic.gov.au,www.portphillip.vic.gov.au
PYRENEES,658,pyrenees@pyrenees.vic.gov.au,www.pyrenees.vic.gov.au
SOUTH GIPPSLAND ,665,council@southgippsland.vic.gov.au,www.southgippsland.vic.gov.au
SOUTHERN GRAMPIANS,654,council@sthgrampians.vic.gov.au,www.sthgrampians.vic.gov.au
STONNINGTON,553,council@stonnington.vic.gov.au,www.stonnington.vic.gov.au
STRATHBOGIE,619,info@strathbogie.vic.gov.au,www.strathbogie.vic.gov.au
SURF COAST,583,info@surfcoast.vic.gov.au,www.surfcoast.vic.gov.au
SWAN HILL,586,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au
TOWONG ,410,info@towong.vic.gov.au,www.towong.vic.gov.au
WANGARATTA,638,council@wangaratta.vic.gov.au,www.wangaratta.vic.gov.au
WELLINGTON,621,enquiries@wellington.vic.gov.au,www.wellington.vic.gov.au
WEST WIMMERA,522,council@westwimmera.vic.gov.au,www.westwimmera.vic.gov.au
WHITTLESEA,663,info@whittlesea.vic.gov.au,www.whittlesea.vic.gov.au
WHITEHORSE,539,customer.service@whitehorse.vic.gov.au,www.whitehorse.vic.gov.au
WODONGA,493,info@wodonga.vic.gov.au,www.wodonga.vic.gov.au
WYNDHAM,624,mail@wyndham.vic.gov.au,www.wyndham.vic.gov.au
YARRA,552,info@yarracity.vic.gov.au,www.yarracity.vic.gov.au
YARRA RANGES,503,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au
YARRIAMBIACK,656,info@yarriambiack.vic.gov.au,www.yarriambiack.vic.gov.au
QUEENSCLIFFE ,413,info@queenscliffe.vic.gov.au,www.queenscliffe.vic.gov.au
